"","Stream start time","Stream URL","Stream length","Watch time","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"166","Tuesday 23rd March 2021 13:43","https://sullygnome.com/channel/melina/stream/42075159918","181","790970","4370","5540","1284","395","100250","30846","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"167","Sunday 21st March 2021 12:15","https://sullygnome.com/channel/melina/stream/41105006973","180","533520","2964","3412","848","260","79351","24415","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"168","Saturday 20th March 2021 14:01","https://sullygnome.com/channel/melina/stream/41091377773","433","888949","2053","2793","431","59","165539","22832","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"169","Friday 19th March 2021 14:09","https://sullygnome.com/channel/melina/stream/41076572829","185","634735","3431","4273","586","180","83395","25660","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"170","Thursday 18th March 2021 14:04","https://sullygnome.com/channel/melina/stream/41063089181","265","1128370","4258","5688","1594","375","113863","26791","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"171","Tuesday 16th March 2021 14:06","https://sullygnome.com/channel/melina/stream/41036879885","233","658225","2825","4427","601","150","92345","23086","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"172","Monday 15th March 2021 15:00","https://sullygnome.com/channel/melina/stream/41024100637","179","427989","2391","2801","520","173","82552","27517","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"173","Saturday 13th March 2021 14:03","https://sullygnome.com/channel/melina/stream/40996628413","236","1033444","4379","5201","1609","402","127579","31894","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"174","Thursday 11th March 2021 15:20","https://sullygnome.com/channel/melina/stream/40969869469","279","926559","3321","3798","1239","260","135798","28589","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"175","Wednesday 10th March 2021 13:10","https://sullygnome.com/channel/melina/stream/40955983581","364","1096004","3011","4270","1865","298","149189","23870","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"176","Tuesday 9th March 2021 15:03","https://sullygnome.com/channel/melina/stream/40943826141","236","737264","3124","3947","1457","364","96904","24226","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"177","Monday 8th March 2021 12:01","https://sullygnome.com/channel/melina/stream/40930520365","298","684208","2296","3624","518","109","108304","22800","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"178","Sunday 7th March 2021 13:19","https://sullygnome.com/channel/melina/stream/40918770589","385","1303610","3386","4064","1047","161","161391","24829","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"179","Saturday 6th March 2021 15:57","https://sullygnome.com/channel/melina/stream/40906500221","77","98406","1278","1594","151","100","25468","16978","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"180","Friday 5th March 2021 12:59","https://sullygnome.com/channel/melina/stream/40886946349","345","890445","2581","3144","749","130","116462","20254","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"181","Thursday 4th March 2021 15:28","https://sullygnome.com/channel/melina/stream/40868920013","31","38130","1230","2236","60","80","7133","9510","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"182","Tuesday 2nd March 2021 14:04","https://sullygnome.com/channel/melina/stream/40828327373","505","1309970","2594","3291","1118","131","157700","18552","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"183","Monday 1st March 2021 13:33","https://sullygnome.com/channel/melina/stream/40809679005","206","592250","2875","3317","710","202","99673","28478","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"184","Sunday 28th February 2021 13:37","https://sullygnome.com/channel/melina/stream/40795881837","202","586810","2905","3215","490","140","96709","27631","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"185","Saturday 27th February 2021 14:16","https://sullygnome.com/channel/melina/stream/40780552797","238","830382","3489","4489","609","152","114265","28566","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
